1,695,5105,,25,Goncourt,"Edmont, Jules",Germinie Lacerteuxová,
1,822,5539,,40,Gončarov,Ivan Alexandrovič,Strž,
1,174,6461,1988,0,Gorbačov,Michail,Přestavba a nové myšlení,
1,977,6055,1985,30,Gordonová,Barbora,"Tančím tak rychle, jak dokážu",
1,1035,6310,1986,26,Gary,Romain,Příslib úsvitu,
1,1063,6387,1987,0,Gorkij,Maxim,O neopětované lásce,
1,395,4050,,16,Gorkij,Maxim,Dětství,
1,113,263,1955,27,Gorkij,Maxim,Matka,
1,114,194,1950,27,Gorkij,Maxim,Matka,
1,821,5518,,25,Gloger,Gotthold,"Rytíř, smrt a ďábel",
1,997,6110,1985,28,Granin,Daniil,Letím do bouřky,
1,1170,7135,,24,Granin,Daniil,Zubr,
1,769,5372,,14,Grandpierre,Emil Kolozsvári,Ženy v drobném,
1,515,,1968,18,Greene,Graham,Komedianti,
1,514,,1968,18,Greene,Graham,Komedianti,
1,1190,7186,1991,26,Greene,Graham,Moc a sláva,
1,955,5990,1985,19,Greene,Graham,Kus života,
1,605,3865,1971,27,Greene,Graham,Brightonský špalek,Moc a sláva
1,1097,6172,1986,33,Greene,Graham,Jádro věcí,Konec dobrodružství
1,1312,7548,1973,0,Greene,Graham,Vlak do Istanbulu,Tajný kurýr
1,447,,,7,Gregor,Manfred,Most,
1,598,3842,1971,18,Griffith II.,Samuel,Bitva o Guadalcanal,
1,857,,1982,17,Grin,Alexandr,Jessie a Morgiana,
1,843,5581,,27,Grin,Alexandr,Příběh nesplněných snů,
1,1288,7506,1980,0,Grin,Alexandr,Nachové plachty,
1,385,266,,24,Grimmelshausen,Hans Jakob Christoffel,Dobrodružný Simplicius Simplicissimus,
1,649,4002,,,Grossman,Leonid,Zápisky sekundanta,
1,653,4031,,13,Grossman,Leonid,Sametový diktátor,
1,696,5106,,10,Grossmith,George,Deník pana Nuly,
1,614,3873,,28,Gulbranssen,Trygve,Vane vítr z hor II.,Není jiné cesty
1,1027,6278,1986,22,Queen,Ellery,Zločin z omylu,
1,1219,7289,,,Gulbraussen,Trygve,Věčně zpívající lesy,"Vane vítr z hor, Není jiné cesty"
1,937,5922,1984,45,Gulik,Robert,Třikrát život a skutky soudce Ti,
1,1132,7323,,,Hailey,Arthur,V nejvyšších sférách,
1,699,5134,1977,29,Hailey,Arthur,Konečná Diagnóza,
1,781,5427,,38,Hailey,Arthur,Kola,
1,701,5136,1977,13,Hailey,"John Castle, Arthur",Let do nebezpečí,
1,560,3767,,20,Hamsun,Knut,Matka Země,
1,1262,7412,,99,Hanstein,Otfried von,Kleopatra,
1,687,5071,1975,28,Hartog,Jan de,Nemocnice,
1,637,3987,,26,Harte ,Bret,Clarence,
1,688,5072,1975,27,Hart,B.,Gabriel Conrag,
1,892,5797,1987,22,Hartog,Jan de,Thalassa,
1,1265,7421,,299,Hastingsová,Selina,Ilustrovaná bible pro děti,
1,947,5161,1984,16,Heinlein,Robert,Dveře do léta,
1,774,5390,,35,Heinrich,Willi,Druhá garnitura boží,
1,872,5739,1983,32,Heller,Joseph,Gold za všechny peníze ,
1,744,5304,,20,Hemingway,Ernest,Mít a nemít,
1,1069,6417,,33,Hemingway,Ernest,Komu zvoní hrana,
1,1080,6446,,33,Hemingway,Ernest,Komu zvoní hrana,
1,1078,6444,,33,Hemingway,Ernest,Komu zvoní hrana,
1,1081,6447,,33,Hemingway,Ernest,Komu zvoní hrana,
1,1082,6448,,33,Hemingway,Ernest,Komu zvoní hrana,
1,1079,6445,,33,Hemingway,Ernest,Komu zvoní hrana,
1,1076,6442,,33,Hemingway,Ernest,Komu zvoní hrana,
1,1075,6441,,33,Hemingway,Ernest,Komu zvoní hrana,
1,1074,6440,,33,Hemingway,Ernest,Komu zvoní hrana,
1,1073,6439,,33,Hemingway,Ernest,Komu zvoní hrana,
1,1077,6443,,33,Hemingway,Ernest,Komu zvoní hrana,
1,452,,,25,Hemingway,Ernest,Komu zvonia do hrobu,
1,485,,,22,Hemingway,Ernest,Povídky,
1,712,5242,1978,22,Hemingway,Ernest,Povídky,
1,650,4059,1975,28,Hemingway,Ernest,Povídky,
1,830,5567,,41,Hemingway,Ernest,Smrt odpoledne,
1,1146,7036,,25,Henry,O.,Na jídelním lísku,
